title,price_gbp,rating_stars,availability,book_url,stock_count,availability_encoded,cat_Books,price_gbp_scaled
Rip it Up and Start Again,35.02,5,In stock (19 available),https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,19,4,True,0.031534166094122025
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock (19 available),https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,19,4,True,1.5577795662080653
Olio,23.88,1,In stock (19 available),https://books.toscrape.com/catalogue/olio_984/index.html,19,4,True,-0.7333049592891141
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock (19 available),https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,19,4,True,0.20798268963406066
Libertarianism for Beginners,51.33,2,In stock (19 available),https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,19,4,True,1.1513300489487515
It's Only the Himalayas,45.17,2,In stock (19 available),https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,19,4,True,0.7284028485573035
In Her Wake,12.84,1,In stock (19 available),https://books.toscrape.com/catalogue/in-her-wake_980/index.html,19,4,True,-1.4912783833672938
How Music Works,37.32,2,In stock (19 available),https://books.toscrape.com/catalogue/how-music-works_979/index.html,19,4,True,0.1894452961104093
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock (19 available),https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,19,4,True,-0.2774223926333972
Chase Me (Paris Nights #2),25.27,5,In stock (19 available),https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,19,4,True,-0.6378717111488359
Black Dust,34.53,5,In stock (19 available),https://books.toscrape.com/catalogue/black-dust_976/index.html,19,4,True,-0.002107770300652395
Birdsong: A Story in Pictures,54.64,3,In stock (19 available),https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,19,4,True,1.3785847621461045
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock (19 available),https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,19,4,True,-0.8280516372988865
Aladdin and His Wonderful Lamp,53.13,3,In stock (19 available),https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,19,4,True,1.2749126724397595
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,In stock (18 available),https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,18,3,True,0.3940431950010772
Wall and Piece,44.18,4,In stock (18 available),https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,18,3,True,0.6604324056372493
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock (18 available),https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,18,3,True,-1.1603515804635958
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock (18 available),https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,18,3,True,-0.2410341757166004
The Elephant Tree,23.82,5,In stock (18 available),https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,18,3,True,-0.7374243800721476
The Bear and the Piano,36.89,1,In stock (18 available),https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,18,3,True,0.15992278049866862
Sophie's World,15.94,5,In stock (18 available),https://books.toscrape.com/catalogue/sophies-world_966/index.html,18,3,True,-1.2784416429105587
Penny Maybe,33.29,3,In stock (18 available),https://books.toscrape.com/catalogue/penny-maybe_965/index.html,18,3,True,-0.08724246648334665
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock (18 available),https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,18,3,True,-1.1356350557653943
"In a Dark, Dark Wood",19.63,1,In stock (18 available),https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,18,3,True,-1.025097264753993
Behind Closed Doors,52.22,4,In stock (18 available),https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,18,3,True,1.2124347905637498
You can't bury them all: Poems,33.63,2,In stock (17 available),https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,17,2,True,-0.06389908204615609
Slow States of Collapse: Poems,57.31,3,In stock (17 available),https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,17,2,True,1.561898986991099
Reasons to Stay Alive,26.41,2,In stock (17 available),https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,17,2,True,-0.5596027162711977
Private Paris (Private #10),47.61,5,In stock (17 available),https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,17,2,True,0.8959259604006693
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock (17 available),https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,17,2,True,-0.7861708593380451
Without Borders (Wanderlove #1),45.07,2,In stock (16 available),https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,16,1,True,0.7215371472522475
When We Collided,31.77,1,In stock (16 available),https://books.toscrape.com/catalogue/when-we-collided_955/index.html,16,1,True,-0.19160112632019746
"We Love You, Charlie Freeman",50.27,5,In stock (16 available),https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,16,1,True,1.0785536151151585
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock (16 available),https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,16,1,True,-1.3930988547049934
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock (16 available),https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,16,1,True,0.6604324056372493
Unicorn Tracks,18.78,3,In stock (16 available),https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,16,1,True,-1.0834557258469688
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock (16 available),https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,16,1,True,-0.620707457886196
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock (16 available),https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,16,1,True,-1.255098258473368
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock (16 available),https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,16,1,True,-0.2362281848030612
This One Summer,19.49,4,In stock (16 available),https://books.toscrape.com/catalogue/this-one-summer_947/index.html,16,1,True,-1.0347092465810714
Thirst,17.27,5,In stock (16 available),https://books.toscrape.com/catalogue/thirst_946/index.html,16,1,True,-1.187127815553314
The Torch Is Passed: A Harding Family Story,19.09,1,In stock (16 available),https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,16,1,True,-1.0621720518012954
The Secret of Dreadwillow Carse,56.13,1,In stock (16 available),https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,16,1,True,1.4808837115914386
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock (16 available),https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,16,1,True,1.500107675245595
The Past Never Ends,56.5,4,In stock (16 available),https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,16,1,True,1.5062868064201456
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock (16 available),https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,16,1,True,0.7318356992098314
The Nameless City (The Nameless City #1),38.16,4,In stock (16 available),https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,16,1,True,0.24711718707287925
The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock (16 available),https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,16,1,True,1.3421965452293076
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock (16 available),https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,16,1,True,0.5766708497155665
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock (16 available),https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,16,1,True,-0.7326183891586083
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock (16 available),https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,16,1,True,-1.221456322078594
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock (16 available),https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,16,1,True,-0.9591865322254557
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock (16 available),https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,16,1,True,0.1764004636308031
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock (16 available),https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,16,1,True,1.4760777206778994
The Death of Humanity: and the Case for Life,58.11,4,In stock (16 available),https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,16,1,True,1.6168245974315467
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock (16 available),https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,16,1,True,0.9947920591934751
The Art Forger,40.76,3,In stock (16 available),https://books.toscrape.com/catalogue/the-art-forger_930/index.html,16,1,True,0.42562542100433476
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock (16 available),https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,16,1,True,-1.018231563448937
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock (16 available),https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,16,1,True,-0.1593323301864342
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock (16 available),https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,16,1,True,0.4990884249684337
Soul Reader,39.58,2,In stock (16 available),https://books.toscrape.com/catalogue/soul-reader_926/index.html,16,1,True,0.34461014560467423
Security,39.25,2,In stock (16 available),https://books.toscrape.com/catalogue/security_925/index.html,16,1,True,0.32195333129798964
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock (16 available),https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,16,1,True,-0.6550359644114759
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock (16 available),https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,16,1,True,1.1314195151640893
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock (16 available),https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,16,1,True,-1.0113658621438812
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock (16 available),https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,16,1,True,1.087479026811731
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock (16 available),https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,16,1,True,-1.438412483318363
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock (16 available),https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,16,1,True,-1.456949876842014
"Pop Gun War, Volume 1: Gift",18.97,1,In stock (16 available),https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,16,1,True,-1.0704108933673626
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock (16 available),https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,16,1,True,0.11804200253782719
Patience,10.16,3,In stock (16 available),https://books.toscrape.com/catalogue/patience_916/index.html,16,1,True,-1.675279178342794
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock (16 available),https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,16,1,True,-1.3127701494358386
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock (16 available),https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,16,1,True,0.9508515708411168
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock (16 available),https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,16,1,True,0.8094181239569641
On a Midnight Clear,14.07,3,In stock (16 available),https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,16,1,True,-1.4068302573151052
Obsidian (Lux #1),14.86,2,In stock (16 available),https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,16,1,True,-1.352591217005163
My Paris Kitchen: Recipes and Stories,33.37,2,In stock (16 available),https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,16,1,True,-0.08174990543930198
Masks and Shadows,56.4,2,In stock (16 available),https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,16,1,True,1.4994211051150896
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,0,0,False,-1.4102631079676333
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,0,0,False,0.8478660512652773
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock (16 available),https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,16,1,True,0.7586119342995498
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock (16 available),https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,16,1,True,-1.0051867309693305
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock (16 available),https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,16,1,True,0.380998362521471
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock (16 available),https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,16,1,True,1.3277785724886901
Join,35.67,5,In stock (16 available),https://books.toscrape.com/catalogue/join_902/index.html,16,1,True,0.07616122457698578
In the Country We Love: My Family Divided,22.0,4,In stock (16 available),https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,16,1,True,-0.8623801438241664
