date,sales
2024-07-09,268.35
2024-07-10,214.19
2024-07-11,188.98
2024-07-12,214.11
2024-07-13,194.04
2024-07-14,222.26
2024-07-15,257.57
2024-07-16,231.71
2024-07-17,211.96
2024-07-18,187.46
2024-07-19,192.46
2024-07-20,226.99
2024-07-21,232.3
2024-07-22,252.87
2024-07-23,202.19
2024-07-24,206.66
2024-07-25,172.64
2024-07-26,164.53
2024-07-27,188.16
2024-07-28,221.42
2024-07-29,252.48
2024-07-30,208.62
2024-07-31,203.47
2024-08-01,173.69
2024-08-02,173.61
2024-08-03,212.13
2024-08-04,230.32
2024-08-05,254.66
2024-08-06,222.12
2024-08-07,188.54
2024-08-08,173.62
2024-08-09,178.24
2024-08-10,195.88
2024-08-11,202.18
2024-08-12,232.22
2024-08-13,224.19
2024-08-14,233.13
2024-08-15,201.59
2024-08-16,158.34
2024-08-17,185.52
2024-08-18,193.16
2024-08-19,218.74
2024-08-20,222.31
2024-08-21,210.34
2024-08-22,159.47
2024-08-23,158.36
2024-08-24,154.74
2024-08-25,209.87
2024-08-26,208.94
2024-08-27,206.99
2024-08-28,176.54
2024-08-29,166.51
2024-08-30,139.41
2024-08-31,162.63
2024-09-01,242.02
2024-09-02,203.43
2024-09-03,196.43
2024-09-04,215.29
2024-09-05,209.63
2024-09-06,146.42
2024-09-07,177.43
2024-09-08,213.61
2024-09-09,247.17
2024-09-10,196.67
2024-09-11,182.74
2024-09-12,176.5
2024-09-13,169.4
2024-09-14,176.29
2024-09-15,205.56
2024-09-16,199.79
2024-09-17,207.17
2024-09-18,181.8
2024-09-19,167.79
2024-09-20,154.12
2024-09-21,188.67
2024-09-22,222.53
2024-09-23,222.62
2024-09-24,216.0
2024-09-25,186.67
2024-09-26,164.49
2024-09-27,151.91
2024-09-28,186.73
2024-09-29,206.37
2024-09-30,252.28
2024-10-01,235.02
2024-10-02,192.46
2024-10-03,153.95
2024-10-04,147.05
2024-10-05,200.96
2024-10-06,212.98
2024-10-07,229.4
2024-10-08,186.67
2024-10-09,202.1
2024-10-10,173.83
2024-10-11,148.81
2024-10-12,177.85
2024-10-13,214.93
2024-10-14,225.02
2024-10-15,210.59
2024-10-16,188.88
2024-10-17,165.58
2024-10-18,170.19
2024-10-19,209.54
2024-10-20,175.11
2024-10-21,223.42
2024-10-22,220.46
2024-10-23,197.81
2024-10-24,166.81
2024-10-25,144.69
2024-10-26,195.62
2024-10-27,242.85
2024-10-28,207.39
2024-10-29,234.29
2024-10-30,192.05
2024-10-31,175.18
2024-11-01,159.04
2024-11-02,189.57
2024-11-03,240.42
2024-11-04,243.21
2024-11-05,251.47
2024-11-06,218.89
2024-11-07,187.02
2024-11-08,205.42
2024-11-09,205.68
2024-11-10,237.93
2024-11-11,234.69
2024-11-12,231.24
2024-11-13,195.6
2024-11-14,200.19
2024-11-15,166.58
2024-11-16,215.9
2024-11-17,227.8
2024-11-18,261.93
2024-11-19,246.81
2024-11-20,238.74
2024-11-21,201.75
2024-11-22,166.18
2024-11-23,208.74
2024-11-24,218.73
2024-11-25,242.3
2024-11-26,263.99
2024-11-27,226.84
2024-11-28,186.21
2024-11-29,180.52
2024-11-30,216.26
2024-12-01,224.14
2024-12-02,246.15
2024-12-03,252.19
2024-12-04,240.85
2024-12-05,212.12
2024-12-06,167.71
2024-12-07,226.73
2024-12-08,249.91
2024-12-09,268.91
2024-12-10,278.29
2024-12-11,199.14
2024-12-12,200.74
2024-12-13,217.59
2024-12-14,205.13
2024-12-15,277.69
2024-12-16,274.98
2024-12-17,273.53
2024-12-18,228.35
2024-12-19,228.66
2024-12-20,231.63
2024-12-21,239.24
2024-12-22,265.99
2024-12-23,280.46
2024-12-24,254.85
2024-12-25,241.68
2024-12-26,221.16
2024-12-27,228.37
2024-12-28,257.78
2024-12-29,253.64
2024-12-30,281.57
2024-12-31,297.07
2025-01-01,239.8
2025-01-02,218.18
2025-01-03,232.72
2025-01-04,262.51
2025-01-05,276.75
2025-01-06,310.45
2025-01-07,294.76
2025-01-08,270.63
2025-01-09,245.87
2025-01-10,271.63
2025-01-11,253.79
2025-01-12,253.53
2025-01-13,321.57
2025-01-14,282.02
2025-01-15,266.58
2025-01-16,264.13
2025-01-17,219.59
2025-01-18,244.98
2025-01-19,266.43
2025-01-20,292.43
2025-01-21,302.28
2025-01-22,279.6
2025-01-23,255.38
2025-01-24,229.14
2025-01-25,235.77
2025-01-26,297.89
2025-01-27,303.85
2025-01-28,309.13
2025-01-29,288.77
2025-01-30,259.77
2025-01-31,268.15
2025-02-01,280.23
2025-02-02,311.35
2025-02-03,306.63
2025-02-04,305.76
2025-02-05,287.36
2025-02-06,276.11
2025-02-07,256.9
2025-02-08,290.61
2025-02-09,305.35
2025-02-10,321.31
2025-02-11,326.71
2025-02-12,260.26
2025-02-13,250.04
2025-02-14,246.18
2025-02-15,253.33
2025-02-16,304.64
2025-02-17,339.72
2025-02-18,315.33
2025-02-19,298.38
2025-02-20,291.01
2025-02-21,293.44
2025-02-22,292.33
2025-02-23,340.07
2025-02-24,334.74
2025-02-25,311.84
2025-02-26,291.21
2025-02-27,257.1
2025-02-28,264.75
2025-03-01,292.46
2025-03-02,336.2
2025-03-03,363.46
2025-03-04,307.87
2025-03-05,310.14
2025-03-06,267.72
2025-03-07,289.13
2025-03-08,299.71
2025-03-09,300.43
2025-03-10,355.23
2025-03-11,323.09
2025-03-12,299.71
2025-03-13,270.66
2025-03-14,275.48
2025-03-15,311.28
2025-03-16,328.14
2025-03-17,349.22
2025-03-18,340.49
2025-03-19,330.32
2025-03-20,284.25
2025-03-21,265.73
2025-03-22,323.36
2025-03-23,328.4
2025-03-24,363.3
2025-03-25,343.0
2025-03-26,310.62
2025-03-27,296.61
2025-03-28,319.03
2025-03-29,340.28
2025-03-30,336.09
2025-03-31,350.56
2025-04-01,354.86
2025-04-02,301.27
2025-04-03,297.64
2025-04-04,290.54
2025-04-05,314.89
2025-04-06,323.5
2025-04-07,325.16
2025-04-08,308.37
2025-04-09,297.84
2025-04-10,286.3
2025-04-11,286.96
2025-04-12,339.58
2025-04-13,352.82
2025-04-14,334.7
2025-04-15,344.7
2025-04-16,308.42
2025-04-17,288.74
2025-04-18,293.86
2025-04-19,319.43
2025-04-20,330.67
2025-04-21,364.51
2025-04-22,321.68
2025-04-23,313.84
2025-04-24,331.1
2025-04-25,293.45
2025-04-26,330.57
2025-04-27,335.96
2025-04-28,356.0
2025-04-29,336.6
2025-04-30,309.74
2025-05-01,278.89
2025-05-02,294.92
2025-05-03,294.56
2025-05-04,342.75
2025-05-05,361.66
2025-05-06,340.94
2025-05-07,305.91
2025-05-08,295.21
2025-05-09,281.57
2025-05-10,319.02
2025-05-11,302.86
2025-05-12,337.82
2025-05-13,302.98
2025-05-14,285.09
2025-05-15,306.1
2025-05-16,296.78
2025-05-17,291.27
2025-05-18,304.79
2025-05-19,295.31
2025-05-20,321.54
2025-05-21,340.6
2025-05-22,288.86
2025-05-23,271.59
2025-05-24,305.6
2025-05-25,300.4
2025-05-26,331.75
2025-05-27,327.54
2025-05-28,299.3
2025-05-29,290.44
2025-05-30,281.33
2025-05-31,304.76
2025-06-01,309.55
2025-06-02,345.67
2025-06-03,346.43
2025-06-04,281.93
2025-06-05,261.1
2025-06-06,291.98
2025-06-07,287.6
2025-06-08,336.62
2025-06-09,321.21
2025-06-10,339.42
2025-06-11,294.0
2025-06-12,273.8
2025-06-13,290.89
2025-06-14,280.48
2025-06-15,296.84
2025-06-16,316.48
2025-06-17,319.71
2025-06-18,263.84
2025-06-19,274.76
2025-06-20,254.58
2025-06-21,298.34
2025-06-22,270.24
2025-06-23,306.58
2025-06-24,282.77
2025-06-25,270.07
2025-06-26,264.02
2025-06-27,255.07
2025-06-28,272.4
2025-06-29,298.83
2025-06-30,316.49
2025-07-01,287.99
2025-07-02,288.11
2025-07-03,265.28
2025-07-04,258.57
2025-07-05,279.58
2025-07-06,300.7
2025-07-07,339.0
2025-07-08,296.85
2025-07-09,267.94
2025-07-10,239.09
2025-07-11,232.37
2025-07-12,247.64
2025-07-13,278.01
2025-07-14,302.51
2025-07-15,298.29
2025-07-16,268.45
2025-07-17,234.06
2025-07-18,256.53
2025-07-19,272.6
2025-07-20,284.17
2025-07-21,289.03
2025-07-22,296.78
2025-07-23,265.81
2025-07-24,219.16
2025-07-25,237.38
2025-07-26,260.84
2025-07-27,268.51
2025-07-28,297.15
2025-07-29,262.25
2025-07-30,278.59
2025-07-31,255.21
2025-08-01,230.26
2025-08-02,258.06
2025-08-03,241.6
2025-08-04,272.76
2025-08-05,275.52
2025-08-06,238.37
2025-08-07,243.17
2025-08-08,260.02
2025-08-09,231.03
2025-08-10,261.32
2025-08-11,289.82
2025-08-12,300.34
2025-08-13,232.43
2025-08-14,232.56
2025-08-15,253.83
2025-08-16,220.42
2025-08-17,251.24
2025-08-18,276.58
2025-08-19,265.08
2025-08-20,259.75
2025-08-21,229.32
2025-08-22,196.82
2025-08-23,249.94
2025-08-24,258.89
2025-08-25,299.23
2025-08-26,260.73
2025-08-27,235.34
2025-08-28,231.23
2025-08-29,232.39
2025-08-30,246.51
2025-08-31,239.94
2025-09-01,285.94
2025-09-02,252.47
2025-09-03,246.35
2025-09-04,199.77
2025-09-05,225.75
2025-09-06,225.89
2025-09-07,244.28
2025-09-08,286.96
2025-09-09,270.09
2025-09-10,232.18
2025-09-11,241.56
2025-09-12,211.21
2025-09-13,237.33
2025-09-14,266.5
2025-09-15,266.01
2025-09-16,272.68
2025-09-17,232.64
2025-09-18,212.97
2025-09-19,237.7
2025-09-20,220.79
2025-09-21,225.92
2025-09-22,299.21
2025-09-23,303.7
2025-09-24,234.51
2025-09-25,190.14
2025-09-26,212.76
2025-09-27,232.36
2025-09-28,259.62
2025-09-29,258.81
2025-09-30,274.72
2025-10-01,249.13
2025-10-02,197.55
2025-10-03,228.78
2025-10-04,268.42
2025-10-05,266.14
2025-10-06,271.64
2025-10-07,265.19
2025-10-08,251.88
2025-10-09,195.5
2025-10-10,222.36
2025-10-11,233.48
2025-10-12,293.08
2025-10-13,275.99
2025-10-14,294.34
2025-10-15,228.21
2025-10-16,232.48
2025-10-17,227.0
2025-10-18,228.71
2025-10-19,270.54
2025-10-20,299.41
2025-10-21,267.19
2025-10-22,222.2
2025-10-23,226.32
2025-10-24,211.68
2025-10-25,239.72
2025-10-26,269.86
2025-10-27,258.94
2025-10-28,251.21
2025-10-29,258.31
2025-10-30,222.34
2025-10-31,190.43
2025-11-01,260.41
2025-11-02,279.04
2025-11-03,277.77
2025-11-04,259.74
2025-11-05,267.75
2025-11-06,239.64
2025-11-07,268.95
2025-11-08,259.33
2025-11-09,285.25
2025-11-10,290.55
2025-11-11,296.39
2025-11-12,269.32
2025-11-13,257.99
2025-11-14,230.29
2025-11-15,251.48
2025-11-16,277.3
2025-11-17,310.04
2025-11-18,311.82
2025-11-19,258.34
2025-11-20,238.2
2025-11-21,248.24
2025-11-22,259.82
2025-11-23,304.33
2025-11-24,270.03
2025-11-25,282.64
2025-11-26,259.25
2025-11-27,215.59
2025-11-28,234.97
2025-11-29,255.72
2025-11-30,293.04
2025-12-01,326.57
2025-12-02,297.49
2025-12-03,261.7
2025-12-04,255.77
2025-12-05,271.44
2025-12-06,261.15
2025-12-07,288.79
2025-12-08,324.69
2025-12-09,304.32
2025-12-10,293.4
2025-12-11,262.99
2025-12-12,272.83
2025-12-13,266.9
2025-12-14,308.94
2025-12-15,319.86
2025-12-16,296.15
2025-12-17,267.02
2025-12-18,280.29
2025-12-19,263.88
2025-12-20,273.96
2025-12-21,314.57
2025-12-22,346.86
2025-12-23,287.12
2025-12-24,274.98
2025-12-25,263.14
2025-12-26,298.06
2025-12-27,300.54
2025-12-28,334.55
2025-12-29,319.87
2025-12-30,311.58
