rainfall_mm,fertilizer_kg_ha,soil_quality,avg_temp_c,yield_tons_ha
524.4,138.9,0.55,14.7,1.489
633.2,182.4,3.57,24.9,8.908
883.2,149.3,2.65,31.6,5.317
434.7,185.1,6.1,22.2,8.785
706.1,98.2,2.05,25.0,6.695
603.2,149.4,8.88,28.1,10.449
634.5,139.5,9.3,23.3,10.969
900.6,89.2,1.0,21.7,6.664
807.6,71.8,1.07,14.9,2.299
967.5,184.3,1.15,26.6,8.643
669.1,132.5,6.2,23.5,10.26
560.8,98.9,1.22,19.9,4.205
655.2,145.2,8.52,24.5,10.907
748.5,206.4,7.54,21.7,11.349
735.3,36.0,8.2,21.9,9.127
483.1,75.2,5.26,26.4,6.598
718.1,103.9,9.97,18.6,9.234
745.6,223.1,0.44,28.2,6.762
1203.5,164.1,4.01,18.4,8.737
1075.4,188.4,3.24,21.3,9.762
529.4,93.0,9.49,31.7,6.849
642.5,94.0,5.77,28.5,6.875
407.3,172.4,8.06,24.4,10.162
581.9,152.9,1.7,20.2,6.011
763.1,177.4,9.79,21.9,12.651
941.2,140.6,4.99,24.3,10.954
554.2,163.9,4.94,24.2,8.775
569.2,157.9,9.71,23.6,11.707
270.5,188.9,3.81,23.9,6.66
667.5,190.4,3.98,23.1,8.23
487.5,69.0,5.85,18.2,6.622
594.1,37.6,1.28,21.9,4.034
524.6,200.1,3.21,27.7,6.835
681.1,209.4,1.93,18.5,6.507
348.5,99.0,1.03,23.2,4.424
406.6,57.0,8.66,20.7,7.69
1125.8,155.0,5.89,24.4,11.201
442.5,196.5,3.59,22.4,8.364
480.6,239.9,4.09,29.9,6.824
1067.4,175.8,4.32,26.0,9.594
1281.0,131.4,6.33,18.8,10.989
465.7,105.3,9.27,26.7,9.889
626.4,150.6,9.33,20.9,10.57
768.3,135.0,3.91,21.7,7.39
1045.7,99.2,3.29,25.3,8.196
502.6,252.4,4.51,22.0,9.283
650.9,239.3,5.68,27.6,10.545
855.5,206.8,4.62,20.9,9.297
787.0,104.0,6.59,21.5,9.311
624.8,192.8,5.54,21.4,9.71
673.2,182.0,3.21,21.7,6.9
425.0,172.1,3.46,28.4,6.907
652.4,212.5,3.79,26.5,8.161
646.7,181.8,0.95,30.8,4.708
746.4,187.0,1.66,33.1,3.797
588.9,181.8,7.23,19.9,10.114
794.3,167.0,3.89,24.3,9.289
902.5,60.8,2.15,19.3,4.514
731.1,154.2,5.63,20.9,8.737
770.4,122.2,7.56,21.5,10.199
710.6,86.0,2.57,19.8,5.686
700.0,234.1,8.27,19.8,11.626
555.7,236.4,9.28,23.4,12.713
763.3,218.0,5.97,19.1,10.027
680.5,162.8,6.69,27.4,9.503
1118.6,217.5,0.53,20.3,7.456
1014.7,150.6,9.46,35.2,6.448
777.2,160.1,3.92,22.2,8.911
547.4,95.3,9.24,24.3,9.613
477.5,169.8,5.79,18.8,7.905
938.2,153.0,0.05,30.8,5.202
752.5,84.9,0.39,28.5,4.575
796.0,147.4,6.8,25.2,8.876
351.1,146.0,5.63,18.6,5.88
885.5,239.9,0.27,24.8,9.207
790.9,194.7,7.43,19.5,10.266
477.9,150.6,8.52,29.8,7.58
605.7,162.4,4.96,27.2,8.932
752.7,152.2,4.66,24.4,9.088
710.5,139.9,0.05,14.3,1.776
641.6,95.9,7.87,20.1,9.089
679.3,142.4,3.31,26.8,7.689
649.6,112.7,8.79,28.9,9.566
730.5,87.5,3.73,28.4,6.837
994.3,175.6,5.65,17.6,10.112
186.7,169.6,2.7,25.2,6.325
652.6,60.7,1.61,28.1,3.869
735.3,143.9,7.75,17.4,8.772
759.2,199.8,4.97,24.0,10.584
625.6,203.0,5.36,25.1,10.307
348.7,201.3,9.65,22.8,10.921
765.6,151.9,9.64,16.6,9.961
1045.5,107.7,8.56,22.7,12.311
393.2,95.8,1.88,22.7,6.336
872.8,167.2,5.94,23.4,10.173
634.3,169.0,8.78,21.7,10.833
687.7,214.4,3.74,22.2,8.903
489.4,205.0,1.01,23.8,6.393
633.1,143.4,8.11,25.8,9.947
960.0,87.8,4.82,22.8,7.592
816.5,134.0,5.64,22.4,9.312
1046.5,160.9,9.82,24.4,13.669
935.5,139.9,6.07,16.3,7.285
787.8,121.1,4.25,25.9,9.303
1048.8,162.6,3.7,24.0,9.861
787.8,124.8,4.18,24.2,9.173
865.6,118.6,1.18,27.8,6.344
640.7,165.6,7.95,16.2,8.177
713.3,129.9,8.38,16.1,7.851
560.5,162.2,2.84,25.1,8.006
897.9,163.7,3.04,24.0,8.897
464.3,93.0,8.74,24.7,9.724
856.5,125.9,0.24,22.2,6.471
661.9,221.9,5.2,26.7,9.601
934.2,91.9,4.64,27.7,8.404
850.2,44.2,6.9,25.9,10.134
1064.1,56.9,1.63,23.0,6.901
846.2,151.5,6.68,15.6,7.322
385.6,151.5,3.77,27.1,7.231
686.6,144.1,6.19,28.9,8.997
465.6,210.7,0.4,26.6,5.937
596.3,16.4,4.62,20.5,4.59
1002.2,169.8,5.22,26.7,10.585
827.5,228.1,2.14,27.4,7.315
560.2,93.6,1.4,30.2,4.274
497.3,131.0,1.88,20.5,5.556
706.6,112.4,3.44,23.1,8.035
456.7,105.3,0.97,27.0,4.089
565.8,133.7,9.47,24.2,10.173
762.4,221.4,4.05,19.5,8.932
931.1,241.9,8.09,25.7,13.052
821.8,133.2,9.74,26.3,11.618
241.7,245.3,0.81,24.4,6.166
760.9,151.8,6.52,24.9,11.575
714.4,237.7,8.71,23.0,13.015
782.8,145.3,6.34,29.9,8.893
1023.2,156.6,4.29,20.4,9.788
287.4,168.3,4.31,21.7,7.724
581.8,308.9,0.36,24.0,8.082
818.2,192.6,5.35,27.5,8.723
383.7,114.6,9.94,18.0,8.328
995.2,198.4,9.59,18.8,12.742
773.7,131.9,0.4,15.8,2.509
869.3,125.5,7.06,24.1,10.506
585.8,195.4,3.02,19.5,6.739
862.8,151.6,9.03,22.5,12.775
913.7,163.9,0.45,26.6,7.409
746.6,150.7,9.36,21.4,11.859
746.9,166.8,8.37,24.9,11.783
754.1,171.2,1.18,22.8,7.2
527.3,53.2,0.6,26.7,4.003
670.5,183.3,8.35,25.9,10.667
669.5,100.9,1.56,21.2,4.65
776.7,77.9,5.35,23.3,8.537
900.0,147.1,9.16,28.2,11.591
488.3,154.2,5.67,25.6,9.152
675.0,115.3,3.97,18.4,7.038
996.3,191.6,4.45,26.6,10.97
551.3,82.9,0.63,19.7,3.387
535.5,129.7,9.69,29.7,9.127
740.5,120.8,3.11,28.1,7.038
868.9,147.7,1.89,25.2,9.025
702.3,163.9,2.86,24.6,8.705
965.8,99.6,9.64,23.2,12.668
871.4,186.2,0.94,26.7,7.282
868.4,153.2,8.67,22.5,11.423
810.8,55.4,7.08,24.9,9.671
1165.5,52.1,8.3,27.5,10.265
659.0,149.4,9.76,21.8,11.36
299.3,139.0,8.42,21.5,8.973
1020.9,144.8,9.43,19.2,12.571
608.5,148.6,1.27,19.7,5.341
721.6,161.3,7.96,16.7,7.186
961.9,197.4,5.46,26.9,10.909
379.5,94.4,5.43,31.2,4.229
449.7,91.4,8.99,29.7,7.959
379.7,95.3,9.72,17.5,7.621
541.2,164.4,7.05,26.9,9.303
787.9,212.2,4.83,29.7,9.01
804.8,128.4,4.56,22.2,7.951
755.3,24.9,3.86,24.4,6.446
417.4,64.8,3.62,16.0,2.928
238.0,108.3,3.92,25.1,5.562
710.9,122.1,0.9,19.7,4.504
605.6,129.6,0.77,24.8,6.133
791.9,151.9,7.8,17.8,9.737
840.4,134.4,4.46,26.2,8.796
727.6,202.5,9.31,28.1,10.712
852.0,116.2,6.12,20.9,9.687
745.8,106.9,0.35,19.5,3.934
806.0,173.9,1.58,15.4,4.214
559.1,73.2,2.06,22.9,5.069
664.1,169.5,9.76,21.7,11.202
739.4,155.1,2.19,17.8,5.451
864.1,142.6,5.16,25.8,9.435
621.3,229.4,9.36,22.2,12.059
804.2,118.9,9.77,19.7,11.232
646.8,253.0,2.36,21.8,8.332
676.5,138.7,0.49,28.3,5.654
865.9,86.1,1.54,26.4,6.527
301.4,153.5,0.63,23.5,4.526
440.7,96.2,1.95,26.5,4.637
403.6,112.4,5.69,19.4,5.81
233.3,169.9,9.12,24.1,10.1
564.3,177.8,5.37,24.6,8.953
849.9,118.9,6.26,22.1,8.576
643.0,199.4,2.02,25.7,7.354
739.6,207.9,8.01,20.9,10.942
917.8,221.8,6.18,26.0,12.285
965.5,176.5,8.64,26.2,11.599
686.2,218.2,9.49,12.3,5.182
970.7,56.0,3.48,28.8,7.231
718.4,134.1,0.91,11.8,0.1
532.5,106.6,2.26,21.5,5.409
581.1,156.0,4.38,28.1,7.134
403.9,121.4,9.46,22.7,10.339
522.4,141.7,3.78,18.1,4.601
628.4,244.1,7.71,19.6,9.912
860.7,141.5,5.4,28.1,8.824
1044.2,170.7,1.83,16.3,6.655
423.6,138.4,3.21,28.5,5.457
778.6,153.8,6.53,23.8,10.388
491.9,150.3,6.73,19.2,8.689
794.9,172.4,4.35,21.7,10.156
673.8,208.3,2.29,19.9,7.075
333.8,232.4,7.22,27.5,9.544
885.7,165.5,1.69,26.9,8.52
579.0,179.5,9.37,17.1,8.503
593.2,92.5,1.88,22.4,6.271
486.0,145.6,1.07,20.5,4.667
569.1,197.0,4.98,29.2,7.93
785.6,193.3,5.2,18.6,8.58
662.2,160.6,5.08,30.4,6.569
765.7,194.3,4.37,23.9,9.105
772.4,174.5,9.95,19.4,11.735
964.1,210.0,4.86,21.3,11.055
631.4,164.5,4.78,20.8,8.282
404.6,132.2,4.22,18.9,5.868
913.4,166.8,0.67,24.4,7.835
633.7,3.5,5.93,19.1,5.453
922.9,169.1,2.28,15.3,5.163
776.7,0.0,6.38,22.5,8.227
673.8,63.8,0.51,16.8,3.659
769.8,172.6,9.81,21.0,11.916
1090.2,173.9,4.69,20.4,9.893
1115.4,91.9,8.97,20.5,11.998
713.9,114.4,4.76,32.0,5.631
732.0,218.5,0.6,24.2,7.298
915.2,125.8,8.22,25.0,11.232
530.9,262.1,6.48,16.9,8.691
766.6,149.9,7.82,21.4,10.25
694.8,170.4,4.28,24.9,8.662
762.8,230.8,6.38,19.9,10.546
533.3,156.6,8.56,27.6,10.457
382.1,99.9,6.31,19.2,6.353
285.4,144.5,3.48,22.9,5.409
476.5,148.2,6.63,21.7,7.871
608.3,81.8,6.72,24.7,8.039
641.4,137.2,9.61,21.4,10.402
1087.4,112.9,3.71,22.9,9.133
921.2,196.2,4.25,23.1,9.54
507.6,151.7,8.12,21.1,9.396
769.5,135.9,5.06,25.9,8.575
618.6,144.7,7.37,25.0,9.798
643.1,161.2,4.6,23.6,9.403
737.1,180.8,2.15,22.3,8.137
823.8,100.0,7.45,27.2,9.767
632.1,97.9,1.31,23.1,5.509
912.8,205.2,1.99,22.8,8.629
471.6,129.4,6.27,24.4,8.743
701.3,79.2,7.47,30.8,7.465
1219.5,172.2,8.95,18.6,11.938
744.6,173.2,2.73,27.1,7.756
986.6,73.5,1.11,16.4,2.83
718.3,161.5,9.56,24.9,12.1
816.2,186.8,1.54,30.3,6.389
688.6,168.7,1.98,26.0,7.14
665.9,181.6,2.91,24.7,9.021
544.1,79.8,5.29,21.8,6.858
786.1,166.6,8.83,24.1,12.047
529.7,134.9,7.61,23.0,9.636
833.1,125.9,7.08,20.9,9.925
917.1,193.5,1.75,22.8,8.498
773.3,224.0,3.58,24.8,9.621
642.8,239.7,4.78,20.9,9.99
790.8,215.7,1.47,20.8,8.453
638.3,144.5,2.73,18.6,5.88
887.1,167.6,3.08,25.6,9.199
333.7,188.3,1.27,26.2,5.335
632.9,156.1,5.5,24.9,9.514
301.8,156.5,7.05,27.9,7.659
401.0,191.2,0.7,24.4,6.431
